idx,product,devType,protocol fomat,ver,buffsize,BaudRate,DataBit,Parity,StopBit,addr,maxDelay,
1,艾默生电源,06,1363.3,21,4096,9600,8,N,1,01,2000,
2,北京动力源电源,06,1363.3,21,4096,9600,8,N,1,01,2000,
3,华为电源,06,1363.3,21,4096,9600,8,N,1,01,2000,
4,中达电源,06,1363.3,21,4096,9600,8,N,1,01,2000,
5,中恒电源,06,zhonghengdianyuan,,4096,9600,8,N,1,,2000,
6,珠江电源CU3000C,06,1363.3,21,8192,9600,8,N,1,01,100,
7,中兴电源,06,1363.3,21,4096,9600,8,N,1,01,2000,
8,珠江电源CU3000G,06,1363.3,21,2048,9600,8,N,1,01,2000,
9,TCL空调,15,tcl,,256,1200,8,N,1,,2000,
10,格力空调,15,1363.3,21,256,9600,8,N,1,01,2000,
11,科龙空调,15,1363.3,21,4096,9600,8,N,1,01,2000,
12,美的空调,15,meidikongtiao,,4096,2400,8,N,1,A0,2000,
13,安科瑞电表,16,modbus,,256,2400,8,E,1,01,1000,
14,雅达电表,16,modbus,,256,2400,8,E,1,01,2000,
15,雅达电表DTSD3366M-2-W1,16,modbus,,256,2400,8,E,1,01,2000,
16,杭州尚灵电表,16,1363.3,21,256,2400,8,E,1,01,2000,
17,力创电表,16,modbus,,256,2400,8,E,1,01,2000,
18,苏州海特热交换,25,1363.3,21,4096,9600,8,N,1,01,2000,
19,苏州华瑞热交换,25,modbus,,4096,9600,8,N,1,01,2000,
20,英维克热交换,25,modbus,,4096,9600,8,N,1,01,2000,
21,高新兴门禁,17,1363.3,21,256,9600,8,N,1,01,2000,
22,中兴门禁,17,1363.3,21,256,9600,8,N,1,01,2000,
23,河南传通门禁,17,henanchuantongmenjin,,4096,9600,8,N,1,,2000,
24,珠江门禁,17,1363.3,21,256,9600,8,N,1,01,2000,
25,交流配电箱,02,modbus,,256,9600,8,N,1,01,2000,
26,位置服务,37,1363.3,21,256,9600,8,N,1,01,2000,
27,电池监测,07,,,,,,,,,,
28,设备通信,19,,,,,,,,,,
29,机房环境,18,modbus,,256,19200,8,N,1,01,1000,
30,英维克空调,15,1363.3,21,512,9600,8,N,1,01,2000,
31,分体门禁系统,17,,,,,,,,,,
99,alarmTest,99,modbus,,256,9600,8,N,1,01,2000,

