DevType,DevNo,Priority,Command,Value,RtnLen,start,Vender,ProtocolType
6,1,20,40510000,,82,,艾默生,1363
,,,,454D4552534F4E,,37,,
,2,20,42990000,,40,,动力源,1363
,,,,00/01,,13,,
,3,20,40510000,,82,,华为,1363
,,,,485541574549,,37,,
,4,20,4292C0040000,,,,中达,1363
,,,,00/01,,13,,
,,,,11,,15,,
,5,10,7E7D207D20407D217D20EBA3,,,,中恒,私有协议
,6,20,40510000,,待测,,珠江,1363
,,,,43553330303043,,13,,
,7,10,40E10000,,122,,中兴,1363
15,9,10,0000700000,,,,TCL,私有协议
,10,20,60510000,,82,,格力,1363
,,,,59434D4F44554C453031,,13,,
,,,,,,33,,
,,,,4752454520454C45435452494320415050205A48,,37,,
,11,20,60510000,,82,,科龙,1363
,,,,4B4F4E,,13,,
,,,,,,19,,
,,,,4B53,,37,,
,12,10,A1C2,,,,美的,私有协议
16,13,13,03004D0002,,,,安科瑞,Modbus
,14,12,0300700001,,,,雅达,兼容Modbus
,16,10,90510000,,82,,杭州尚灵,1363
,,,,534C414D432D54303530,,13,,
,,,,,,33,,
,,,,53554E4C494E4553,,37,,
,17,11,0320BE0002,,,,山东力创,Modbus
25,18,10,60510000,,82,,苏州海特,1363
,,,,6163,,13,,
,,,,,,17,,
,,,,68617964656E73757A686F75,,37,,
,19,11,031C000001,,,,苏州华瑞,私有协议
,20,12,03060C0005,,,,英维克,Modbus
17,21,20,804AA006F2EF00,,,,高新兴,1363
,,,,260-R,,13,,
,22,20,804AA006F2EF00,,,,中兴,1363
,,,,ACUC,,13,,
,23,10,000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,河南传通,私有协议
,24,20,40510000,,82,,珠江,1363
,,,,5044472D3031,,13,,
99,99,10,0300000064,,,,alarmTest,Modbus

