信号标准名,信号ID,单位,告警时,正常时,关联ID,比较逻辑,回差,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值
交流电压过高告警,16002001,,,,,,,三级告警,260,80,,,三级告警,260,80,,,三级告警,260,80,,,三级告警,260,80,,
交流电压过低告警,16003001,,,,,,,三级告警,160,,,,三级告警,160,,,,三级告警,160,,,,三级告警,160,,,
交流缺相告警,16004001,,,,,,,三级告警,90,,,,三级告警,90,,,,三级告警,90,,,,三级告警,90,,,
交流输入停电告警,16001001,,停电,正常,,,,一级告警,90,180,,,二级告警,90,180,,,三级告警,90,180,,,三级告警,90,180,,
第1路(市电)电压过低告警,16005001,,,,,,,一级告警,90,180,,,二级告警,90,180,,,三级告警,90,180,,,三级告警,90,180,,
第2路(油机)有电压告警,16006001,,停电,正常,,,,一级告警,90,180,,,二级告警,90,180,,,三级告警,90,180,,,三级告警,90,180,,
设备系统时间,16121001,,,,,,,,,,,,,,,,,,,,,,,,,,
线电压Uab,16101001,V,,,,,,,,,,,,,,,,,,,,,,,,,
线电压Ubc,16102001,V,,,,,,,,,,,,,,,,,,,,,,,,,
线电压Uca,16103001,V,,,,,,,,,,,,,,,,,,,,,,,,,
A相电压Ua,16104001,V,,,,,,,,,20,,,,,20,,,,,20,,,,,20,
B相电压Ub,16105001,V,,,,,,,,,20,,,,,20,,,,,20,,,,,20,
C相电压Uc,16106001,V,,,,,,,,,20,,,,,20,,,,,20,,,,,20,
第XX路A相电流Ia,16107001,A,,,,,,,,,,20,,,,,20,,,,,20,,,,,20
第XX路B相电流Ib,16108001,A,,,,,,,,,,20,,,,,20,,,,,20,,,,,20
第XX路C相电流Ic,16109001,A,,,,,,,,,,20,,,,,20,,,,,20,,,,,20
零序电流Io,16110001,A,,,,,,,,,10,,,,,10,,,,,10,,,,,10,
第XX路A相有功功率Pa,16111001,KW,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路B相有功功率Pb,16112001,KW,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路C相有功功率Pc,16113001,KW,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路A相无功功率Qa,16114001,Kvar,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路B相无功功率Qb,16115001,Kvar,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路C相无功功率Qc,16116001,Kvar,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路功率因数PF,16117001,,,,,,,,,,,,,,,,,,,,,,,,,,
频率F,16118001,Hz,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路正向有功电能,16119001,Kwh,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路正向无功电能,16120001,KvarH,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路第XX时段正向有功电能,16122001,Kwh,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路第XX时段正向无功电能,16123001,KvarH,,,,,,,,,,,,,,,,,,,,,,,,,
第XX路CT值,16124001,,,,,,,,,,,10,,,,,10,,,,,10,,,,,10
第XX路PT值,16125001,,,,,,,,,,,10,,,,,10,,,,,10,,,,,10
时钟同步,16201001,,,,,,,,,,,,,,,,,,,,,,,,,,

