信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
交流电压过高告警,2001001,,有告警,正常,三级告警,260,,,,三级告警,260,,,,三级告警,260,,,,三级告警,260,,,
交流电压超高告警,2002001,,有告警,正常,二级告警,275,,,,二级告警,275,,,,二级告警,275,,,,二级告警,275,,,
交流电压过低告警,2003001,,有告警,正常,三级告警,160,,,,三级告警,160,,,,三级告警,160,,,,三级告警,160,,,
交流缺相告警,2004001,,有告警,正常,二级告警,90,,,,二级告警,90,,,,二级告警,90,,,,二级告警,90,,,
交流输入停电告警,2016001,,有告警,正常,一级告警,90,60,,,一级告警,90,60,,,二级告警,90,60,,,二级告警,90,60,,
防雷器故障告警,2005001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
防雷空开断开告警,2006001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
油机发电状态,2007001,,油机发电,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
线电压Uab,2101001,V,,,,,,,,,,,,,,,,,,,,,,
线电压Ubc,2102001,V,,,,,,,,,,,,,,,,,,,,,,
线电压Uca,2103001,V,,,,,,,,,,,,,,,,,,,,,,
相电压Ua,2104001,V,,,,,,10,,,,,10,,,,,10,,,,,10,
相电压Ub,2105001,V,,,,,,10,,,,,10,,,,,10,,,,,10,
相电压Uc,2106001,V,,,,,,10,,,,,10,,,,,10,,,,,10,
相电流Ia,2107001,A,,,,,,,10,,,,,10,,,,,10,,,,,10
相电流Ib,2108001,A,,,,,,,10,,,,,10,,,,,10,,,,,10
相电流Ic,2109001,A,,,,,,,10,,,,,10,,,,,10,,,,,10
A相有功功率Pa,2110001,KW,,,,,,,,,,,,,,,,,,,,,,
B相有功功率Pb,2111001,KW,,,,,,,,,,,,,,,,,,,,,,
C相有功功率Pc,2112001,KW,,,,,,,,,,,,,,,,,,,,,,
A相无功功率Qa,2113001,Kvar,,,,,,,,,,,,,,,,,,,,,,
B相无功功率Qb,2114001,Kvar,,,,,,,,,,,,,,,,,,,,,,
C相无功功率Qc,2115001,Kvar,,,,,,,,,,,,,,,,,,,,,,
功率因数PF,2116001,,,,,,,0.1,,,,,0.1,,,,,0.1,,,,,0.1,
频率F,2117001,Hz,,,,,,0.2,,,,,0.2,,,,,0.2,,,,,0.2,
输出分路XXA相电流Ia,2118001,A,,,,,,,,,,,,,,,,,,,,,,
输出分路XXB相电流Ib,2119001,A,,,,,,,,,,,,,,,,,,,,,,
输出分路XXC相电流Ic,2120001,A,,,,,,,,,,,,,,,,,,,,,,
输出分路XX正向有功电能,2121001,KWH,,,,,,,,,,,,,,,,,,,,,,
输出分路XX正向无功电能,2122001,KvarH,,,,,,,,,,,,,,,,,,,,,,
时钟同步,2201001,,,,,,,,,,,,,,,,,,,,,,,
