信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
塔身倾斜度告警,37015001,,有告警,正常,,,,,,,,,,,,,,,,一级告警,2,,1,
塔身振动幅度告警,37016001,,有告警,正常,,,,,0.5,,,,,0.5,,,,,0.5,一级告警,1%,,,0.5
塔身振动告警,37017001,,有告警,正常,,,,,,,,,,,,,,,,四级告警,60,,10,
塔身倾斜度,37101001,°,,,一级告警,2,,1,,一级告警,2,,1,,一级告警,2,,1,,一级告警,2,,1,
塔身振动幅度,37102001,mm,,,一级告警,1%,,,0.5,一级告警,1%,,,0.5,一级告警,1%,,,0.5,一级告警,1%,,,0.5
塔身振动频率,37103001,Hz,,,四级告警,60,,10,,四级告警,60,,10,,四级告警,60,,10,,四级告警,60,,10,
大气环境PM2.5,37104001,mg/m3,,,,,,,,,,,,,,,,,,,,,,
环境温度,37105001,℃,,,,,,,,,,,,,,,,,,,,,,
湿度,37106001,%,,,一级告警,70,,20,,一级告警,70,,20,,一级告警,70,,20,,一级告警,70,,20,
风速,37107001,m/s,,,一级告警,13,,3,,一级告警,13,,3,,一级告警,13,,3,,一级告警,13,,3,
风向,37108001,°,,,,,,,,,,,,,,,,,,,,,,
位置服务模块振动幅度,37109001,mm,,,,,,2,,四级告警,,60,2,,四级告警,,60,2,,,,,2,
AGPS有效标识,37010001,,,,,,,,,,,,,,,,,,,,,,,
经度,37111001,°,,,,,,,,,,,,,,,,,,,,,,
纬度,37112001,°,,,,,,,,,,,,,,,,,,,,,,
海拔,37113001,m,,,,,,,,,,,,,,,,,,,,,,
DGPS有效标识,37014001,,,,,,,,,,,,,,,,,,,,,,,
经度修正数,37115001,°,,,,,,,,,,,,,,,,,,,,,,
纬度修正数,37116001,°,,,,,,,,,,,,,,,,,,,,,,
海拔修正数,37117001,m,,,,,,,,,,,,,,,,,,,,,,
