信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
蓄电池过压告警,20001001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
蓄电池欠压告警,20002001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
负载熔断器/断路器故障告警,20003001,,有告警,正常,一级告警,,,,,一级告警,,,,,一级告警,,,,,一级告警,,,,
蓄电池熔断器/断路器故障告警,20004001,,有告警,正常,一级告警,,,,,一级告警,,,,,一级告警,,,,,一级告警,,,,
板阵工作状态告警,20005001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
太阳能电源模块故障告警,20006001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
风力发电设备模块故障告警,20007001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
防雷器故障告警,20008001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
市电状态告警,20009001,,有告警,正常,一级告警,,,,,一级告警,,,,,一级告警,,,,,一级告警,,,,
油机状态告警,20010001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
风机状态告警,20011001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
设备系统时间,20101001,,,,,,,,,,,,,,,,,,,,,,,
第XX路子方阵电压,20102001,V,,,,,,,,,,,,,,,,,,,,,,
第XX路子方阵电流,20103001,A,,,,,,,,,,,,,,,,,,,,,,
控制器输出电压,20104001,V,,,,,,,,,,,,,,,,,,,,,,
控制器温度,20105001,℃,,,,,,,,,,,,,,,,,,,,,,
蓄电池输入输出电流,20106001,A,,,,,,,,,,,,,,,,,,,,,,
蓄电池电压,20107001,V,,,,,,,,,,,,,,,,,,,,,,
蓄电池容量,20108001,AH,,,,,,,,,,,,,,,,,,,,,,
蓄电池温度,20109001,℃,,,,,,,,,,,,,,,,,,,,,,
负载总电流,20110001,A,,,,,,,,,,,,,,,,,,,,,,
第XX路风机电压,20111001,V,,,,,,,,,,,,,,,,,,,,,,
第XX路风机电流,20112001,A,,,,,,,,,,,,,,,,,,,,,,
整流器输入电压 ,20113001,V,,,,,,,,,,,,,,,,,,,,,,
第XX路整流器输出电流,20114001,A,,,,,,,,,,,,,,,,,,,,,,
时钟同步,20201001,,,,,,,,,,,,,,,,,,,,,,,
