信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
烟雾告警,23001001,,有告警,正常,一级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
过滤器脏堵告警,23002001,,有告警,正常,二级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
风门卡滞告警,23003001,,有告警,正常,二级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
节能状态,23004001,,,,,,,,,,,,,,,,,,,三级告警,,,,
空调xx开关状态,23005001,,,,,,,,,,,,,,,,,,,三级告警,,,,
出风机状态,23006001,,,,,,,,,,,,,,,,,,,三级告警,,,,
进风机状态,23007001,,,,,,,,,,,,,,,,,,,三级告警,,,,
节能风机开关,23008001,,,,,,,,,,,,,,,,,,,三级告警,,,,
设备系统时间,23114001,,,,,,,,,,,,,,,,,,,,,,,
直流电压,23101001,V,,,,,,0.5,,,,,0.5,,,,,0.5,,,,,0.5,
室内温度,23102001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
室内湿度,23103001,%RH,,,,,,10,,,,,10,,,,,10,,,,,10,
室外温度,23104001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
室外湿度,23105001,%RH,,,,,,10,,,,,10,,,,,10,,,,,10,
交流电压,23106001,V,,,,,,,,,,,,,,,,,,,,,,
节能隔日天数,23107001,天,,,,,,,,,,,,,,,,,,,,,,
节能运行当前天数,23108001,天,,,,,,,,,,,,,,,,,,,,,,
节能风机运行时长,23109001,H,,,,,,,,,,,,,,,,,,,,,,
节能单空调运行时长,23110001,H,,,,,,,,,,,,,,,,,,,,,,
节能双空调运行时长,23111001,H,,,,,,,,,,,,,,,,,,,,,,
非节能双空调运行时长,23112001,H,,,,,,,,,,,,,,,,,,,,,,
节能参数,23113001,,,,,,,,,,,,,,,,,,,,,,,
是否开启风堵检测,23201001,,,,,,,,,,,,,,,,,,,,,,,
是否开启风门检测,23202001,,,,,,,,,,,,,,,,,,,,,,,
节能控制状态,23203001,,,,,,,,,,,,,,,,,,,,,,,
单空调开关控制,23204001,,,,,,,,,,,,,,,,,,,,,,,
所有空调开关控制,23205001,,,,,,,,,,,,,,,,,,,,,,,
除尘器开关控制,23206001,,,,,,,,,,,,,,,,,,,,,,,
重启节能设备,23207001,,,,,,,,,,,,,,,,,,,,,,,
时钟同步,23208001,,,,,,,,,,,,,,,,,,,,,,,
设置节能参数,23301001,,,,,,,,,,,,,,,,,,,,,,,
