信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
烟雾,26001001,,有告警,正常,一级告警,,,,,一级告警,,,,,一级告警,,,,,一级告警,,,,
热管故障告警,26002001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
空调故障告警,26003001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
空调运行状态,26004001,,,,,,,,,,,,,,,,,,,,,,,
设备系统时间,26107001,,,,,,,,,,,,,,,,,,,,,,,
室内温度,26101001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
室内湿度,26102001,%RH,,,,,,10,,,,,10,,,,,10,,,,,10,
室外温度,26103001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
室外湿度,26104001,%RH,,,,,,10,,,,,10,,,,,10,,,,,10,
热管累计运行时长,26105001,H,,,,,,,,,,,,,,,,,,,,,,
空调累计运行时长,26106001,H,,,,,,,,,,,,,,,,,,,,,,
远程开关机控制,26201001,,,,,,,,,,,,,,,,,,,,,,,
时钟同步,26202001,,,,,,,,,,,,,,,,,,,,,,,
热管运行温度设置,26301001,,,,,,,,,,,,,,,,,,,,,,,
