信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
内外温异常,27001001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
柜内温度高告警,27002001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
柜内温度低告警,27003001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
柜门打开告警,27004001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
直流过压告警,27005001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
直流欠压告警,27006001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
交流过压告警,27007001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
交流欠压告警,27008001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
结霜告警,27009001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
冷媒不足告警,27010001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
交流停电告警,27011001,,有告警,正常,一级告警,,,,,一级告警,,,,,一级告警,,,,,一级告警,,,,
设备故障,27012001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
传感器故障,27013001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
制冷系统压力过高告警,27014001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
制冷系统压力过低告警,27015001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
过流告警,27016001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
运行状态,27017001,,,,,,,,,,,,,,,,,,,,,,,
空调xx状态,27018001,,,,,,,,,,,,,,,,,,,,,,,
开关状态,27019001,,,,,,,,,,,,,,,,,,,,,,,
设备系统时间,27101001,,,,,,,,,,,,,,,,,,,,,,,
当前柜内温度,27102001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
当前柜外温度,27103001,℃,,,,,,3,,,,,3,,,,,3,,,,,3,
盘管温度,27104001,℃,,,,,,,,,,,,,,,,,,,,,,
压缩机温度,27105001,℃,,,,,,,,,,,,,,,,,,,,,,
直流电压,27106001,V,,,,,,0.5,,,,,0.5,,,,,0.5,,,,,0.5,
交流电压,27107001,V,,,,,,,,,,,,,,,,,,,,,,
空调数量,27108001,个,,,,,,,,,,,,,,,,,,,,,,
基站空调运行时长,27109001,H,,,,,,,,,,,,,,,,,,,,,,
电柜空调运行时长,27110001,H,,,,,,,,,,,,,,,,,,,,,,
柜内高温告警温度,27111001,℃,,,,,,,,,,,,,,,,,,,,,,
柜内低温告警温度,27112001,℃,,,,,,,,,,,,,,,,,,,,,,
电柜空调开启温度,27113001,℃,,,,,,,,,,,,,,,,,,,,,,
电柜空调关闭温度,27114001,℃,,,,,,,,,,,,,,,,,,,,,,
电柜制热关闭温度,27115001,℃,,,,,,,,,,,,,,,,,,,,,,
电柜制热开启温度,27116001,℃,,,,,,,,,,,,,,,,,,,,,,
电柜空调关闭延时,27117001,H,,,,,,,,,,,,,,,,,,,,,,
电柜空调开启延时,27118001,H,,,,,,,,,,,,,,,,,,,,,,
排氢周期,27119001,H,,,,,,,,,,,,,,,,,,,,,,
单次排氢时长,27120001,H,,,,,,,,,,,,,,,,,,,,,,
内循环风机启动间隔,27121001,H,,,,,,,,,,,,,,,,,,,,,,
内循环风机单次运行时长,27122001,H,,,,,,,,,,,,,,,,,,,,,,
直流电压上限,27123001,V,,,,,,,,,,,,,,,,,,,,,,
直流电压下限,27124001,V,,,,,,,,,,,,,,,,,,,,,,
交流电压上限,27125001,V,,,,,,,,,,,,,,,,,,,,,,
交流电压下限,27126001,V,,,,,,,,,,,,,,,,,,,,,,
排氢时刻,27127001,-,,,,,,,,,,,,,,,,,,,,,,
强排温度,27128001,℃,,,,,,,,,,,,,,,,,,,,,,
强排温差,27129001,℃,,,,,,,,,,,,,,,,,,,,,,
开关量上传选择,27130001,-,,,,,,,,,,,,,,,,,,,,,,
强制排氢功能开关,27131001,-,,,,,,,,,,,,,,,,,,,,,,
设定温度,27132001,℃,,,,,,,,,,,,,,,,,,,,,,
空调运行时长,27133001,H,,,,,,,,,,,,,,,,,,,,,,
蜂鸣器开关,27201001,,,,,,,,,,,,,,,,,,,,,,,
存储记录开关,27202001,,,,,,,,,,,,,,,,,,,,,,,
直流检测开关,27203001,,,,,,,,,,,,,,,,,,,,,,,
交流检测开关,27204001,,,,,,,,,,,,,,,,,,,,,,,
门磁检测开关,27205001,,,,,,,,,,,,,,,,,,,,,,,
系统格式化,27206001,,,,,,,,,,,,,,,,,,,,,,,
设备重启,27207001,,,,,,,,,,,,,,,,,,,,,,,
强开排氢,27208001,,,,,,,,,,,,,,,,,,,,,,,
柜内温度设置,27301001,℃,,,,,,,,,,,,,,,,,,,,,,
系统时间设置,27302001,,,,,,,,,,,,,,,,,,,,,,,
