信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
运行状态告警,33001001,,有告警,正常,三级告警,,,,,三级告警,,,,,三级告警,,,,,三级告警,,,,
过载状态告警,33002001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
偏压状态告警,33003001,,有告警,正常,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
设备系统时间,33101001,,,,,,,,,,,,,,,,,,,,,,,
输出电压,33102001,V,,,,,,,,,,,,,,,,,,,,,,
输出电流,33103001,A,,,,,,,,,,,,,,,,,,,,,,
A相电压,33104001,V,,,,,,,,,,,,,,,,,,,,,,
B相电压,33105001,V,,,,,,,,,,,,,,,,,,,,,,
C相电压,33106001,V,,,,,,,,,,,,,,,,,,,,,,
AB线电压,33107001,V,,,,,,,,,,,,,,,,,,,,,,
BC线电压,33108001,V,,,,,,,,,,,,,,,,,,,,,,
CA线电压,33109001,V,,,,,,,,,,,,,,,,,,,,,,
A相电流,33110001,A,,,,,,,,,,,,,,,,,,,,,,
B相电流,33111001,A,,,,,,,,,,,,,,,,,,,,,,
C相电流,33112001,A,,,,,,,,,,,,,,,,,,,,,,
A相功率,33113001,KW,,,,,,,,,,,,,,,,,,,,,,
B相功率,33114001,KW,,,,,,,,,,,,,,,,,,,,,,
C相功率,33115001,KW,,,,,,,,,,,,,,,,,,,,,,
总功率,33116001,KW,,,,,,,,,,,,,,,,,,,,,,
A相视在功率,33117001,KVA,,,,,,,,,,,,,,,,,,,,,,
B相视在功率,33118001,KVA,,,,,,,,,,,,,,,,,,,,,,
C相视在功率,33119001,KVA,,,,,,,,,,,,,,,,,,,,,,
正相电度,33120001,KWH,,,,,,,,,,,,,,,,,,,,,,
方向电度,33121001,KWH,,,,,,,,,,,,,,,,,,,,,,
频率,33122001,Hz,,,,,,,,,,,,,,,,,,,,,,
时钟同步,33201001,,,,,,,,,,,,,,,,,,,,,,,
