信号标准名,信号ID,单位,告警时,正常时,关联ID,逻辑,回差,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
总电压,7001001,,过高,正常,7102001,H,,三级告警,60,60,,,二级告警,60,60,,,二级告警,60,60,,,二级告警,60,60,,
总电压,7002001,,过低,正常,7102001,L,,一级告警,47,60,,,二级告警,47,60,,,二级告警,46,60,,,二级告警,46,60,,
电池XX电压,7003001,,过高,正常,,,,三级告警,2.6,300,,,四级告警,2.6,300,,,四级告警,2.6,300,,,四级告警,2.6,300,,
电池XX电压,7004001,,过低,正常,,,,三级告警,1.85,300,,,四级告警,1.85,300,,,四级告警,1.85,300,,,四级告警,1.85,300,,
电池组中间点电压不平衡,7005001,,有告警,正常,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,0.5,300,,
电池XX表面温度,7101001,℃,,,,,,,,,3,,,,,5,,,,,5,,,,,5,
总电压,7102001,V,,,,,,,,,0.5,,,,,0.5,,,,,0.5,,,,,0.5,
总电流,7104001,A,,,,,,,,,,,,,,,,,,,,,,,,,
电池XX电压,7103001,V,,,,,,,,,0.02,,,,,0.02,,,,,0.02,,,,,0.02,
电池XX内阻,7105001,欧姆,,,,,,,,,,0.05,,,,,0.05,,,,,0.05,,,,,0.05
前半组电压,7106001,,,,,,,,,,,,,,,,,,,,,,,,,,
后半组电压,7107001,,,,,,,,,,,,,,,,,,,,,,,,,,
