ID,GRP_ID,name
6001001,2,电池XX熔丝故障告警
6002001,0,电池XX充电过流告警
6003001,6126001,电池XX温度过高告警
6115001,6126001,电池组XX电流
6125001,0,电池组XX温度
6127001,6126001,电池组XX额定容量
6032001,n01,第XX路直流输出分路断开告警
6014001,n02,交流输入XX电压过高告警
6015001,n02,交流输入XX电压过低告警
6016001,n02,交流输入XX停电告警
6017001,n02,交流输入XX缺相告警
6018001,1,交流输入XX频率过高告警
6019001,1,交流输入XX频率过低告警
6101001,n02,交流输入XX相电压Ua
6102001,n02,交流输入XX相电压Ub
6103001,n02,交流输入XX相电压Uc
6107001,1,交流输入XX相电流Ia
6108001,1,交流输入XX相电流Ib
6109001,1,交流输入XX相电流Ic
6110001,n02,交流输入XX频率
6113001,6123001,整流模块XX电流
6114001,6123001,整流模块XX温度
6124001,6123001,整流模块XX额定容量
6024001,6123001,整流模块XX故障告警
6025001,6123001,整流模块XX风扇告警
6026001,6123001,整流模块XX过压关机告警
6027001,6123001,整流模块XX温度过高告警
6028001,6123001,整流模块XX通信状态告警
6204001,6123001,整流模块XX远程开控制
6205001,6123001,整流模块XX远程关控制
6309001,6123001,整流模块XX限流点
6007001,n03,负载熔丝(空开)XX故障告警
