Type,Command(功能码+起始地址+读取个数),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,010300000018,,,,,3,,
,,,101,,,2,10,
,,,102,,,2,10,
,,,103,,,2,100,
,,,104,,,2,100,
,,,105,,,2,,
,,,106,,,2,,
,,,107,,,2,,
,,,108,,,2,,
,,,001,,,2,,
,,,002,,,2,,
,,,003,,,2,,
,,,004,,,2,,
,,,005,,,2,,
,,,006,,,2,,
,,,007,,,2,,
,,,008,,,2,,
,,,009,,,2,,
,,,010,,,2,,
,,,011,,,2,,
,,,012,,,2,,
,,,013,,,2,,
,,,014,,,2,,
,,,015,,,2,,
,,,016,,,2,,
Ctrl,010601000001,,,,,,,
,,,l01,ctrl11on,,2,,
,010601000000,,l02,ctrl11off,,2,,
,010601010001,,l03,ctrl12on,,2,,
,010601010000,,l04,ctrl12off,,2,,
,010601020001,,l05,ctrl13on,,2,,
,010601020000,,l06,ctrl13off,,2,,
,010601030001,,l07,ctrl14on,,2,,
,010601030000,,l08,ctrl14off,,2,,
,020601000001,,l09,ctrl21on,,2,,
,020601000000,,l10,ctrl21off,,2,,
,020601010001,,l11,ctrl22on,,2,,
,020601010000,,l12,ctrl22off,,2,,
,020601020001,,l13,ctrl23on,,2,,
,020601020000,,l14,ctrl23off,,2,,
,020601030001,,l15,ctrl24on,,2,,
,020601030000,,l16,ctrl24off,,2,,
