Type,Command(CID1-INFO),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,4042E00201,,,,,15,,
,,,n02,交流配电数,,2,,
,,,6101001,交流输入XX相电压Ua,,4,100,
,,,6102001,交流输入XX相电压Ub,,4,100,
,,,6103001,交流输入XX相电压Uc,,4,100,
,,,6110001,交流输入XX频率,,4,100,
,,,,自定义数0,,2,,
,,,6107001,交流输入XX相电流Ia,,4,10,
,,,6108001,交流输入XX相电流Ib,,4,10,
,,,6109001,交流输入XX相电流Ic,,4,10,
,41420000,,,13+2+4,,19,,
,,,6123001,配置模块数量,,2,,
,,{,6113001,整流模块XX电流,,4,100,
,,,,,,2,,
,,,6114001,整流模块XX温度,,4,100,1
,,},,,,,,
,42420000,,,13+2+2,,17,,
,,,6111001,直流电压,,4,1,
,,,6112001,直流负载总电流,,4,1,
,,,6126001,蓄电池组数,,2,,
,,,6115001,电池组XX电流,,4,1,1
,,,6115002,电池组XX电流,,4,1,1
,,,6115003,电池组XX电流,,4,1,1
,,,6115004,电池组XX电流,,4,1,1
,,,n01,直流分路数,,,,
,,,6125001,电池组XX温度,,,,
,,,,整流模块总电流,,,,
,,,6129001,电池组实际总容量,,,,
,,,6125002,电池组XX温度,,,,
,4044E00201,,,,,15,,
,,,n02,交流配电数,,2,,
,,,,,,6,,
,,,d01,市电频率告警,,2,,
,,,,,,4,,
,,1,6022001,防雷器故障告警,,2,,
,,,,,,4,,
,,E1,6016001,交流输入XX停电告警,,2,,
,,,6021001,防雷器空开断开告警,,,,
,41440000,,,,,15,,
,,,6123001,配置模块数量,,2,,
,,{,,,,,,
,,1,6024001,整流模块XX故障告警,,2,,
,,,,,,2,,
,,1,6028001,整流模块XX通信状态告警,,2,,
,,},,,,,,
,42440000,,,13+2,,15,,
,,,d02,直流电压告警,,2,,
,,,,电池熔丝组数量,,2,,
,,3,6001001,电池熔丝xx故障告警,,2,,
,,3,6001002,电池熔丝xx故障告警,,2,,
,,3,6001003,电池熔丝xx故障告警,,2,,
,,3,6001004,电池熔丝xx故障告警,,2,,
,,,,,,40,,
,,80,6022001,防雷器故障告警,,2,,
,,,,,,11,,
,,80,6005001,电池供电告警,,2,,
,,,,,,4,,
,,80,6005002,电池供电告警,,2,,
,,,,,,4,,
,,80,6005003,电池供电告警,,2,,
,,,,,,4,,
,,80,6005004,电池供电告警,,2,,
,,,,,,4,,
,,3,6007001,负载熔丝(空开)1故障告警,,2,,
,,3,6007002,负载熔丝(空开)1故障告警,,2,,
,,3,6007003,负载熔丝(空开)1故障告警,,2,,
,,3,6007004,负载熔丝(空开)1故障告警,,2,,
,,3,6007005,负载熔丝(空开)1故障告警,,2,,
,,3,6007006,负载熔丝(空开)1故障告警,,2,,
,,,6002001,电池XX充电过流告警,,,,
,,,6002002,电池XX充电过流告警,,,,
,,,6004001,电池放电不平衡告警,,,,
,404D0000,,,,,13,,
,,,6121001,设备系统时间,,14,,
,41810000,,,,,17,,
,,81,6025001,整流模块XX风扇告警,,2,,
,,82,6026001,整流模块XX过压关机告警,,2,,
,,,,,,6,,
,,86,6027001,整流模块XX温度过高告警,,2,,
,42470000,,,,,13,,
,,,6311001,直流输出电压过高设定值,,4,1,
,,,6310001,直流输出电压过低设定值,,4,1,
,,,,,,2,,
,,,6303001,浮充电压设定值,,4,1,
,,,,,,20,,
,,,6128001,电池组额定总容量,,4,,
,,,6128002,电池组额定总容量,,4,,
,,,6128003,电池组额定总容量,,4,,
,,,6128004,电池组额定总容量,,4,,
,,,6302001,温度补偿系数,,,,
,,,,,,,,
Ctrl,4145C0041000,,6202001,均充控制,,,,
,4145C00420,,6204001,远程开机控制,,2,,
,4145C0042F,,6205001,远程关机控制,,2,,
Set,4249A00680,,6311001,直流输出电压过高设定值,,4,1,
,4249A00681,,6310001,直流输出电压过低设定值,,4,1,
,4249A00682,,6303001,浮充电压设定值,,4,1,
,,,,,,,,
SAME,,2,6018001,交流输入XX频率过高告警,d01,,,
,,1,6019001,交流输入XX频率过低告警,d01,,,
,,2,6009001,直流输出电压过高告警,d02,,,
,,1,6008001,直流输出电压过低告警,d02,,,
,,,6206001,是否允许自动均充,,,,
,,,6014001,交流输入XX电压过高告警,,,,
,,,6015001,交流输入XX电压过低告警,,,,
,,,6301001,电池充电限流设定值,,,,
,,,6017001,交流输入XX缺相告警,,,,
,,,6127001,电池组XX额定容量,,,,
,,,6030001,一级低压脱离告警（增加到4个？）,,,,
,,,6031001,二级低压脱离告警,,,,
,,,6033001,电池组实际总容量告警,,,,
,,,6034001,电池组剩余容量百分比告警,,,,
,,,6129001,电池组实际总容量,,,,
,,,6130001,电池组剩余容量百分比,,,,
,,,6032001,第XX路直流输出分路断开告警,,,,
,,,6003001,电池XX温度过高告警,,,,
,,,6309001,整流模块XX限流点,,,,
,,,6012001,监控模块故障告警,,,,
,,,6305001,浮充电压高告警设定值,,,,
,,,6313001,均充电流设定值,,,,
,,,6122001,系统额定容量,,,,
,,,6124001,整流模块XX额定容量,,,,
