Type,Command(CID1-INFO),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,7E7D207D20407D217D20EBA3,,,连接命令数值0,,,,
,7E000065020064,,,,,6,,
,,,6303001,浮充电压设定值,,4,-2,
,,,6311001,直流输出电压过高设定值,,4,-2,
,,,6310001,直流输出电压过低设定值,,4,-2,
,,,,,,5,,
,,,6302001,温度补偿系数,,1,,
,7E0000450200C8,,,,,6,,
,,,,,,1,,
,,,6128001,电池组额定总容量,,4,,
,7E00006502028A,,,,,6,,
,,,,,,30,,
,,,6001001,电池熔丝xx故障告警,,1,,
,,,,,,8,,
,,,6301001,电池充电限流设定值,,1,,
,7E00004502407E,,,,,6,,
,,,,,,4,,
,,,6101001,交流输入XX相电压Ua,,4,-1,
,,,6102001,交流输入XX相电压Ub,,4,-1,
,,,6103001,交流输入XX相电压Uc,,4,-1,
,,,6111001,直流电压,,4,-1,
,,,6112001,直流负载总电流,,4,-1,
,,,6115001,电池组XX电流,,4,-1,
,,,,,,12,,
,,,6125001,电池组XX温度,,4,-1,
,7E0000650340EC00,,,,,6,,
,,,,,,4,,
,,,6113001,整流模块XX电流,,4,-1,
,,,6114001,整流模块XX温度,,1,,
,,,,,,15,,
,,,6309001,整流模块XX限流点,,4,-1,
,,,,,,8,,
,,,b01,整流器XX故障1,,1,,
,,,b02,整流器XX故障1,,1,,
,,,,,,4,,
,7E0000650340EC01,,,,,6,,
,,,,,,4,,
,,,6113002,整流模块XX电流,,4,-1,
,,,6114002,整流模块XX温度,,1,,
,,,,,,15,,
,,,6309002,整流模块XX限流点,,4,-1,
,,,,,,8,,
,,,b03,整流器XX故障2,,1,,
,,,b04,整流器XX故障2,,1,,
,,,,,,4,,
,7E0000650340EC02,,,,,6,,
,,,,,,4,,
,,,6113003,整流模块XX电流,,4,-1,
,,,6114003,整流模块XX温度,,1,,
,,,,,,15,,
,,,6309003,整流模块XX限流点,,4,-1,
,,,,,,8,,
,,,b05,整流器XX故障3,,1,,
,,,b06,整流器XX故障3,,1,,
,,,,,,4,,
,,,,,,,,
,7E0000450200B6,,,,,6,,
,,,,,,2,,
,,,6007001,负载熔丝(空开)1故障告警,,1,,
Set,7E00006507806401,,6303001,浮充电压设定值,,4,-2,
,7E00006507806402,,6311001,直流输出电压过高设定值,,4,-2,
,7E00006507806403,,6310001,直流输出电压过低设定值,,4,-2,
,7E00006504806406,,6302001,温度补偿系数,,1,,
,7E00006502828A10,,6301001,电池充电限流设定值,,1,,
,7E00006507812D01,,6309001,整流模块XX限流点,,4,-1,
Ctrl,7E0000650240C9,,6202001,均充控制,,,,
,7E0000650341B4,,6205001,远程关机控制,,1,,
,,,,,,,,
Bit,,b01,,,5,,,
,,b01,6024001,整流器XX故障,1,,,
,,b01,,,2,,,
,,b02,,,6,,,
,,b02,6027001,整流模块XX温度过高告警,1,,,
,,b02,6025001,整流模块XX风扇告警,1,,,
,,b03,,,5,,,
,,b03,6024002,整流器XX故障,1,,,
,,b03,,,2,,,
,,b04,,,6,,,
,,b04,6027002,整流模块XX温度过高告警,1,,,
,,b04,6025002,整流模块XX风扇告警,1,,,
,,b05,,,5,,,
,,b05,6024003,整流器XX故障,1,,,
,,b05,,,2,,,
,,b06,,,6,,,
,,b06,6027003,整流模块XX温度过高告警,1,,,
,,b06,6025003,整流模块XX风扇告警,1,,,
