Type,Command(功能码+起始地址+读取个数),Value,ID,Signal,BitLength,ByteLength,ratio,
GET,D0900000,,,,,13,,
,,,37010001,AGPS有效标识,,2,,
,,,37111001,经度,,8,10000,
,,,37112001,纬度,,8,10000,
,,,37113001,海拔,,4,1,
,D0920000,,,,,13,,
,,,37017001,塔身振动告警,,2,,
,,,37016001,塔身振动幅度告警,,4,,
,D0A10000,,,,,13,,
,,,37101001,塔身倾斜度,,4,10,
,,,37102001,塔身振动幅度,,4,10,
,,,37103001,塔身振动频率,,4,1,
,D0A20000,,,,,13,,
,,,37104001,大气环境PM2.5,,8,10,
,D0A30000,,,,,13,,
,,,37105001,环境温度,,4,2,
,,,37106001,湿度,,4,1,
,,,37107001,风速,,4,1,
,,,37108001,风向,,4,1,
,,,,,,,,
,,,37109001,位置服务模块振动幅度,,,,
,,,37014001,DGPS有效标识,,,,
,,,37115001,经度修正数,,,,
,,,37116001,纬度修正数,,,,
,,,37117001,海拔修正数,,,,
,,,37015001,塔身倾斜度告警,,,,
