Type,Command(控制命令+数据),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,A1C2,,,,,5,,
,,,L02,空调运行状态,1,,,
,,,L01,DAT1,7,,,
,,,15301001,运行温度设定,8,,,
Set,A1C1,,,,,,,
,,,L02,空调运行状态,1,,,
,,,L01,,7,,,
,,,15301001,运行温度设定,8,,,
,,0,,,,6,,
Ctrl,A1C1,,,,,,,
,,1,15201001,远程开机,1,,,
,,,L01,,7,,,
,,,15301001,运行温度设定,8,,,
,,0,,,,6,,
Ctrl,A1C1,,,,,,,
,,0,15202001,远程关机,1,,,
,,,L01,,7,,,
,,,15301001,运行温度设定,8,,,
,,0,,,,6,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,15001001,工作异常告警,,,,
,,,15003001,交流输入异常告警,,,,
,,,15103001,设备系统时间,,,,
,,,15102001,回风温度,,,,
