Type,Command(控制命令+数据),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,64440000,,,13+8+2,,23,,
,,F0,25003001,空调故障告警,,2,,
,64430000,,,,,19,,
,,,25004001,空调运行状态,,2,,
,,,25107001,设备系统时间,,,,
,64420000,,,,,15,,
,,,25101001,室内温度,,4,10,
,64470000,,,,,19,,
,,,25301001,设备运行温度设置,,4,10,
Ctrl,6445E0021F,0,25201001,远程关机控制,,,,
,6445E00210,1,25201001,远程开机控制,,,,
,,,25202001,时钟同步,,,,
Set,6449A00682,,25301001,设备运行温度设置,,4,10,
,,,25102001,室内湿度,,,,
,,,25103001,室外温度,,,,
,,,25104001,室外湿度,,,,
,,,25105001,设备累计运行时长,,,,
,,,25106001,空调累计运行时长,,,,
,,,25001001,烟雾,,,,
