,,,,告警门限1,告警门限2,告警门限3,告警门限4,告警级别1,告警级别2,告警级别3,告警级别4,绝对阈值1,绝对阈值2,绝对阈值3,绝对阈值4,百分比阈值1,百分比阈值2,百分比阈值3,百分比阈值4,告警延时1,告警延时2,告警延时3,告警延时4
37015001,,塔身倾斜度告警,,,,,2,,,,一级告警,,,,1,,,,,,,,
37016001,,塔身振动幅度告警,,,,,1%,,,,一级告警,,,,,0.5,0.5,0.5,0.5,,,,
37017001,,塔身振动告警,,,,,60,,,,四级告警,,,,10,,,,,,,,
37101001,,塔身倾斜度,,2,2,2,2,一级告警,一级告警,一级告警,一级告警,1,1,1,1,,,,,,,,
37102001,,塔身振动幅度,,1%,1%,1%,1%,一级告警,一级告警,一级告警,一级告警,,,,,0.5,0.5,0.5,0.5,,,,
37103001,,塔身振动频率,,60,60,60,60,四级告警,四级告警,四级告警,四级告警,10,10,10,10,,,,,,,,
37104001,,大气环境PM2.5,,,,,,,,,,,,,,,,,,,,,
37105001,,环境温度,,,,,,,,,,,,,,,,,,,,,
37106001,,湿度,,70,70,70,70,一级告警,一级告警,一级告警,一级告警,20,20,20,20,,,,,,,,
37107001,,风速,,13,13,13,13,一级告警,一级告警,一级告警,一级告警,3,3,3,3,,,,,,,,
37108001,,风向,,,,,,,,,,,,,,,,,,,,,
37109001,,位置服务模块振动幅度,,,,,,,四级告警,四级告警,,2,2,2,2,,,,,,60,60,
37010001,,AGPS有效标识,,,,,,,,,,,,,,,,,,,,,
37111001,,经度,,,,,,,,,,,,,,,,,,,,,
37112001,,纬度,,,,,,,,,,,,,,,,,,,,,
37113001,,海拔,,,,,,,,,,,,,,,,,,,,,
37014001,,DGPS有效标识,,,,,,,,,,,,,,,,,,,,,
37115001,,经度修正数,,,,,,,,,,,,,,,,,,,,,
37116001,,纬度修正数,,,,,,,,,,,,,,,,,,,,,
37117001,,海拔修正数,,,,,,,,,,,,,,,,,,,,,
